name,generic_name,company,unit,registration_number,registration_date,drap_mrp
Zocor 20mg,Simvastatin,MSD,Tablet,012417,2020-01-01,35.00
Calcirol Sachet,Vitamin D3,Getz,Sachet,012418,2020-01-01,50.00
Ativan 1mg,Lorazepam,Pfizer,Tablet,012419,2020-01-01,5.00
Warfarin 5mg,Warfarin,Various,Tablet,012420,2020-01-01,8.00
Microgynon,Levonorgestrel+Ethinylestradiol,Bayer,Tablet,012421,2020-01-01,35.00
Xalatan Eye Drops,Latanoprost,Pfizer,Drops,012422,2020-01-01,850.00
Amitriptyline 25mg,Amitriptyline,Various,Tablet,012423,2020-01-01,5.00
Mycostatin Oral Susp,Nystatin,BMS,Suspension,012424,2020-01-01,120.00
Valtrex 500mg,Valacyclovir,GSK,Tablet,012425,2020-01-01,250.00
Stromectol 3mg,Ivermectin,MSD,Tablet,012426,2020-01-01,150.00
Solu-Cortef 100mg,Hydrocortisone,Pfizer,Injection,012427,2020-01-01,250.00
GTN Spray,Nitroglycerin,Various,Spray,012428,2020-01-01,450.00
Seroquel 25mg,Quetiapine,AstraZeneca,Tablet,012429,2020-01-01,45.00
Cataflam 50mg,Diclofenac Potassium,Novartis,Tablet,012430,2020-01-01,18.00
Keflex 500mg,Cephalexin,Eli Lilly,Capsule,012431,2020-01-01,25.00
Lopamide 2mg,Loperamide,Sami,Tablet,012432,2020-01-01,2.00
Galvus 50mg,Vildagliptin,Novartis,Tablet,012433,2020-01-01,45.00
Micardis 40mg,Telmisartan,Boehringer,Tablet,012434,2020-01-01,35.00
Avil 25mg,Pheniramine,Sanofi,Tablet,012435,2020-01-01,2.00
Retin-A Cream,Tretinoin,Janssen,Cream,012436,2020-01-01,150.00
Theolair 250mg,Theophylline,3M,Tablet,012437,2020-01-01,15.00
Simva 20mg,Simvastatin,Sami,Tablet,012438,2020-01-01,15.00
Sangobion,Iron+Vitamins,Merck,Capsule,012439,2020-01-01,12.00
Phenobarbitone 30mg,Phenobarbitone,Various,Tablet,012440,2020-01-01,5.00
Aspirin 300mg,Aspirin,Various,Tablet,012441,2020-01-01,2.00
Yasmin,Drospirenone+Ethinylestradiol,Bayer,Tablet,012442,2020-01-01,850.00
Opticrom Eye Drops,Cromoglicate,Sanofi,Drops,012443,2020-01-01,180.00
Efexor XR 75mg,Venlafaxine,Pfizer,Capsule,012444,2020-01-01,85.00
